,file_number,text_content,txt_without_http,txt_after_translate,img,emotion
19,1061,"winter northumberland February bleak frozen landscape view cloud sun frost snow dramaticsky sky storm 
","winter northumberland february bleak frozen landscape view cloud sun frost snow dramaticsky sky storm 
",winter northumberland february bleak frozen landscape view cloud sun frost snow dramatic sky sky storm,/content/drive/MyDrive/lab5_data/data2/1061.jpg,null
20,3927,"RT Nunastic Worshipful rabbits at Longthorpe Tower BAAPboro BAA2015 
","rt nunastic worshipful rabbits at longthorpe tower baapboro baa2015 
",rt nunastic worshipful rabbits at longthorpe tower baapboro baa2015,/content/drive/MyDrive/lab5_data/data2/3927.jpg,null
21,4461,"New York Giants Adult XXL DistressedStyle Zippered hooded jacket httptcoEWaW0RJROW httptcorDwl8dQlEs
","new york giants adult xxl distressedstyle zippered hooded jacket  
",new york giants adult xxl distressedstyle zippered hooded jacket,/content/drive/MyDrive/lab5_data/data2/4461.jpg,null
22,716,"RT terrellcwoods Early run to GrandCentralMkt Really dig this place Hoping the springarcade can be as vibrant soon mydayinla 
","rt terrellcwoods early run to grandcentralmkt really dig this place hoping the springarcade can be as vibrant soon mydayinla 
",rt terrellcwoods early run to grandcentralmkt really dig this place hoping the springarcade can be as vibrant soon mydayinla,/content/drive/MyDrive/lab5_data/data2/716.jpg,null
23,2505,"I could easily move into one of these houseboats in Victorias Fishermans Wharf So bright and cheerful 
","i could easily move into one of these houseboats in victorias fishermans wharf so bright and cheerful 
",i could easily move into one of these houseboats in victorias fishermans wharf so bright and cheerful,/content/drive/MyDrive/lab5_data/data2/2505.jpg,null
24,1803,"Extremely Proud Delighted ScottishBand BreakTheButterfly HardRockRising HardRockEdinburgh votes still coming 
","extremely proud delighted scottishband breakthebutterfly hardrockrising hardrockedinburgh votes still coming 
",extremely proud delighted scottishband breakthebutterfly hardrockrising hardrockedinburgh votes still coming,/content/drive/MyDrive/lab5_data/data2/1803.jpg,null
25,2157,"RT WeatherWest Remarkablepersistent warmth continues across entire Western USsnowpack almost universally dismalcawx cadrought htt 
","rt weatherwest remarkablepersistent warmth continues across entire western ussnowpack almost universally dismalcawx cadrought htt 
",rt weatherwest remarkable persistent warmth continues across entire western us snowpack almost universally dismalcawx cadrought htt,/content/drive/MyDrive/lab5_data/data2/2157.jpg,null
26,1612,"RT SelinaAlko THE CASE FOR LOVING is a Junior Library Guild selection overjoyed seanqualls 
","rt selinaalko the case for loving is a junior library guild selection overjoyed seanqualls 
",rt selinaalko the case for loving is a junior library guild selection overjoyed seanqualls,/content/drive/MyDrive/lab5_data/data2/1612.jpg,null
27,4052,"De vita Beatae Mariae Magdalenae httptcoqL5QkOLhcF
","de vita beatae mariae magdalenae 
",about the life of the blessed mary magdalene,/content/drive/MyDrive/lab5_data/data2/4052.jpg,null
28,3641,"RT artintheage Sunny days  a SNAP Mint Lemonade 1 part SNAP to 3 parts sparkling lemonade Garnish with mint Cheers 
","rt artintheage sunny days  a snap mint lemonade 1 part snap to 3 parts sparkling lemonade garnish with mint cheers 
",rt artintheage sunny days  a snap mint lemonade 1 part snap to 3 parts sparkling lemonade garnish with mint cheers,/content/drive/MyDrive/lab5_data/data2/3641.jpg,null
29,5097,"  FanArmyFaceOff Directioners httpt
","  fanarmyfaceoff directioners 
",fanarmyfaceoff directioners,/content/drive/MyDrive/lab5_data/data2/5097.jpg,null
30,2358,"RT BrionnaLondon I hope my roommate cool cause this me every morning getting ready for class  
","rt brionnalondon i hope my roommate cool cause this me every morning getting ready for class  
",rt brionnalondon i hope my roommate cool cause this me every morning getting ready for class,/content/drive/MyDrive/lab5_data/data2/2358.jpg,null
31,349,"Daughter is infuriated by her fathers wrong lyrics to Frozen 
","daughter is infuriated by her fathers wrong lyrics to frozen 
",daughter is infuriated by her fathers wrong lyrics to frozen,/content/drive/MyDrive/lab5_data/data2/349.jpg,null
32,4710,"RT DailyESSEX Essex Housing campaigners fuming after protest placards are stolen from gardens httptcocoFV5e3GQR httptcodeqXu1
","rt dailyessex essex housing campaigners fuming after protest placards are stolen from gardens  
",rt dailyessex essex housing campaigners fuming after protest placards are stolen from gardens,/content/drive/MyDrive/lab5_data/data2/4710.jpg,null
33,2991,"RT BarnhillKohlkkq Fast and Furious wont be the same without you TeamPW RIPPaulWalker 
","rt barnhillkohlkkq fast and furious wont be the same without you teampw rippaulwalker 
",rt barnhillkohlkkq fast and furious wont be the same without you teampw rippaulwalker,/content/drive/MyDrive/lab5_data/data2/2991.jpg,null
34,459,"Rough night black eye beaten fxmakeup 
","rough night black eye beaten fxmakeup 
",rough night black eye beaten fxmakeup,/content/drive/MyDrive/lab5_data/data2/459.jpg,null
35,1737,"WE STILL AT IT DL THE outcAst EP HERE 
","we still at it dl the outcast ep here 
",we still at it dl the outcast ep here,/content/drive/MyDrive/lab5_data/data2/1737.jpg,null
36,1993,"You dont need too many friends to be happy the real ones are worth cherishing Good night  
","you dont need too many friends to be happy the real ones are worth cherishing good night  
",you dont need too many friends to be happy the real ones are worth cherishing good night,/content/drive/MyDrive/lab5_data/data2/1993.jpg,null
37,116,"Broadway Play Disgraced Pulitzer Prize Winner by AmirKapoor NYC TimesSquare NewYork Manhattan Theater 
","broadway play disgraced pulitzer prize winner by amirkapoor nyc timessquare newyork manhattan theater 
",broadway play disgraced pulitzer prize winner by amir kapoor nyc times square new york manhattan theater,/content/drive/MyDrive/lab5_data/data2/116.jpg,null
38,2949,"Great to meet LucyBronze Our hero And we do not support Bham Sophie got flustered and messed her lines haha 
","great to meet lucybronze our hero and we do not support bham sophie got flustered and messed her lines haha 
",great to meet lucybronze our hero and we do not support bham sophie got flustered and messed her lines haha,/content/drive/MyDrive/lab5_data/data2/2949.jpg,null
39,2792,"RT SimonNRicketts Lewis Hamiltons empty seat at Wimbledon after he was turned away Story 
","rt simonnricketts lewis hamiltons empty seat at wimbledon after he was turned away story 
",rt simon ricketts lewis hamilton's empty seat at wimbledon after he was turned away story,/content/drive/MyDrive/lab5_data/data2/2792.jpg,null
40,1580,"DayanNajar feeling so inlovecrush infatuated wird enjoyable melting And mor 
","dayannajar feeling so inlovecrush infatuated wird enjoyable melting and mor 
",dayan najar feeling so inlove crush infatuated word enjoyable melting and mor,/content/drive/MyDrive/lab5_data/data2/1580.jpg,null
41,2021,"CORAL ENHANCEMENT Want The SPARKLING 71 MAN UTD To Beat Preston While It Lasts 
","coral enhancement want the sparkling 71 man utd to beat preston while it lasts 
",coral enhancement want the sparkling 71 man utd to beat preston while it lasts,/content/drive/MyDrive/lab5_data/data2/2021.jpg,null
42,4843,"RT leatherfaceword JenJenisha i am not gonna kill you I am gonna hurt you really really bad  httptco4wO6iRpdb5
","rt leatherfaceword jenjenisha i am not gonna kill you i am gonna hurt you really really bad  
",rt leatherfaceword jenjenisha i am not gonna kill you i am gonna hurt you really really bad,/content/drive/MyDrive/lab5_data/data2/4843.jpg,null
43,4827,"RT nationaljournal Supreme Court term limits are popular bipartisan and hopeless httptcojk0yhzIHe7 httptcoKitivHcVTU
","rt nationaljournal supreme court term limits are popular bipartisan and hopeless  
",rt nationaljournal supreme court term limits are popular bipartisan and hopeless,/content/drive/MyDrive/lab5_data/data2/4827.jpg,null
44,3119,"New Deal 6701 HP 6530b Incomplete Laptop Notebook Intel 253GHz Core 2 Duo CPU 3GB RAM NO 
","new deal 6701 hp 6530b incomplete laptop notebook intel 253ghz core 2 duo cpu 3gb ram no 
",new deal 6701 hp 6530b incomplete laptop notebook intel 253ghz core 2 duo cpu 3gb ram no,/content/drive/MyDrive/lab5_data/data2/3119.jpg,null
45,3298,"RT TheDSWF Much maligned  Africas most endangered carnivore Find out more  donate to help them 
","rt thedswf much maligned  africas most endangered carnivore find out more  donate to help them 
",rt thedswf much maligned  africas most endangered carnivore find out more  donate to help them,/content/drive/MyDrive/lab5_data/data2/3298.jpg,null
46,4541,"RT cuphaek donghae why is the cookie jar empty httptcopo7WkIknOg
","rt cuphaek donghae why is the cookie jar empty 
",rt cuphaek donghae why is the cookie jar empty,/content/drive/MyDrive/lab5_data/data2/4541.jpg,null
47,1952,"Bridges Burned Entangled Teen G 
","bridges burned entangled teen g 
",bridges burned entangled teen g,/content/drive/MyDrive/lab5_data/data2/1952.jpg,null
48,1839,"RT voodumamajuju Barren waste land 
","rt voodumamajuju barren waste land 
",rt voodumamajuju barren waste land,/content/drive/MyDrive/lab5_data/data2/1839.jpg,null
49,2127,"RT fangirlwhowaits heatworld Anythingbatch so please before you say that all his fans are devastated and heartbroken 
","rt fangirlwhowaits heatworld anythingbatch so please before you say that all his fans are devastated and heartbroken 
",rt fangirlwhowaits heatworld anythingbatch so please before you say that all his fans are devastated and heartbroken,/content/drive/MyDrive/lab5_data/data2/2127.jpg,null
50,3872,"RT GameOverGreggy Just met Batman Beyond willfriedle Glad washedup Batman Unlimited RogerCraigSmith was there to ruin it 
","rt gameovergreggy just met batman beyond willfriedle glad washedup batman unlimited rogercraigsmith was there to ruin it 
",rt gameovergreggy just met batman beyond willfriedle glad washedup batman unlimited rogercraigsmith was there to ruin it,/content/drive/MyDrive/lab5_data/data2/3872.jpg,null
51,3023,"RT kamrsa1 Just 4 days remaining take the duaa from your mother because your mother duaa can bless the happiness and more 
","rt kamrsa1 just 4 days remaining take the duaa from your mother because your mother duaa can bless the happiness and more 
",rt kamrsa1 just 4 days remaining take the duaa from your mother because your mother duaa can bless the happiness and more,/content/drive/MyDrive/lab5_data/data2/3023.jpg,null
52,2351,"GabbyLogan my son aged 12 born Down Syndrome and beaten Cancer twice took these photos hes amazing 
","gabbylogan my son aged 12 born down syndrome and beaten cancer twice took these photos hes amazing 
",gabbylogan my son aged 12 born down syndrome and beaten cancer twice took these photos hes amazing,/content/drive/MyDrive/lab5_data/data2/2351.jpg,null
53,4507,"GM Ruston Webster talks Mariota signing httptco7jkuFc0HGA httptcocbJ
","gm ruston webster talks mariota signing  
",gm ruston webster talks mariota signing,/content/drive/MyDrive/lab5_data/data2/4507.jpg,null
54,600," drink water whenever you think of food empty oops 
"," drink water whenever you think of food empty oops 
",drink water whenever you think of food empty oops,/content/drive/MyDrive/lab5_data/data2/600.jpg,null
55,1516,"If youre curious of barker cypress wrecked 
","if youre curious of barker cypress wrecked 
",if youre curious of barker cypress wrecked,/content/drive/MyDrive/lab5_data/data2/1516.jpg,null
56,4601,"FailedGOPLeaders 2022243121
","failedgopleaders 2022243121
",failedgopleaders 2022243121,/content/drive/MyDrive/lab5_data/data2/4601.jpg,null
57,1046,"RT ChaosChloe Chaotic Mind That was really heart felt Thank u SPARCEO 
","rt chaoschloe chaotic mind that was really heart felt thank u sparceo 
",rt chaos chloe chaotic mind that was really heartfelt thank u sparco,/content/drive/MyDrive/lab5_data/data2/1046.jpg,null
58,1227,"Wedding photo bomb courtesy of random old man stunned 
","wedding photo bomb courtesy of random old man stunned 
",wedding photo bomb courtesy of random old man stunned,/content/drive/MyDrive/lab5_data/data2/1227.jpg,null
59,4378,"httptcoSiqBd7SSHN httptcoPbnuVINxs1
"," 
",,/content/drive/MyDrive/lab5_data/data2/4378.jpg,null
60,4357,"RT TheWeirdWorld If you think depression isnt real httptcoAmviyBx9Kp
","rt theweirdworld if you think depression isnt real 
",rt the weirdworld if you think depression isn't real,/content/drive/MyDrive/lab5_data/data2/4357.jpg,null
61,4094,"RT acya5 2λȤԤäƤΤǤɤΥɤҹkǡʼoȫͶǤޤEĤ6˥饹ߥȤܤ2λǤӋͨ   BB    httptcohaDnb
","rt acya5 2λȥԥäƥτǥɤυɤҹkǡʼoȫͷǥޤeĥ6˥饹ߥȥܤ2λǥӌͨ   bb    
",rt acya5 2λȥԥäƥτǥɤυɤҹkǡʼoȫͷǥޤeĥ6˥饹ߥȥܤ2λǥӌͨ   bb,/content/drive/MyDrive/lab5_data/data2/4094.jpg,null
62,5027,"Paralyzed httptcoxLLOSfoKMF
","paralyzed 
",paralyzed,/content/drive/MyDrive/lab5_data/data2/5027.jpg,null
63,1969,"RT Citi973 My encounter at Ghanas chaotic passport office UmaruSanda See more here CitiNews 
","rt citi973 my encounter at ghanas chaotic passport office umarusanda see more here citinews 
",rt citi 973 my encounter at ghana's chaotic passport office umaru sanda see more here citinews,/content/drive/MyDrive/lab5_data/data2/1969.jpg,null
64,4754,"ҹʳΥʥ httptcoWVws6BSpdy
","ҹʳυʥ 
",ҹʳυʥ,/content/drive/MyDrive/lab5_data/data2/4754.jpg,null
65,861,"AsILayDying Forsaken Music  We found As I Lay Dying  Forsaken for free on audiom 
","asilaydying forsaken music  we found as i lay dying  forsaken for free on audiom 
",asilaydying forsaken music  we found as i lay dying  forsaken for free on audiom,/content/drive/MyDrive/lab5_data/data2/861.jpg,null
66,136,"RT AnglinChanel yu havent lived til youve chewed sucked  gnawed pon dis  Caribbean TeamJamaican 
","rt anglinchanel yu havent lived til youve chewed sucked  gnawed pon dis  caribbean teamjamaican 
",rt anglinchanel you haven't lived til youve chewed sucked gnawed pon dis caribbean team jamaican,/content/drive/MyDrive/lab5_data/data2/136.jpg,null
67,4466,"BEAUTY DAILY DEALS  httptcoJoJzMBzAMQ 8173 Nike The Eyes Lead The Body Eyeglass Storage Case Distressed  httptcoYsr1JbC8Ul
","beauty daily deals   8173 nike the eyes lead the body eyeglass storage case distressed  
",beauty daily deals   8173 nike the eyes lead the body eyeglass storage case distressed,/content/drive/MyDrive/lab5_data/data2/4466.jpg,null
68,4916,"RT foxaustin State officials Texas Gov Abbotts vetoes may be invalid httptcoBawgq5xqQa FOX7Austin httptco8rJ3OF5JfT
","rt foxaustin state officials texas gov abbotts vetoes may be invalid  fox7austin 
",rt foxaustin state officials texas gov abbotts vetoes may be invalid  fox7austin,/content/drive/MyDrive/lab5_data/data2/4916.jpg,null
69,1025,"RT AstroTerry speechless from this sunrise 
","rt astroterry speechless from this sunrise 
",rt astroterry speechless from this sunrise,/content/drive/MyDrive/lab5_data/data2/1025.jpg,null
70,4922,"Transpo Chair discusses connecting isolated comms w pub trans that imprv mobility but also tourism potential NYmoves httptcobnlK0PzXPN
","transpo chair discusses connecting isolated comms w pub trans that imprv mobility but also tourism potential nymoves 
",transpo chair discusses connecting isolated comms w pub trans that imprv mobility but also tourism potential nymoves,/content/drive/MyDrive/lab5_data/data2/4922.jpg,null
71,1233,"Time approaches  0  and thrilled good  
","time approaches  0  and thrilled good  
",time approaches  0  and thrilled good,/content/drive/MyDrive/lab5_data/data2/1233.jpg,null
72,1173,"Wild Photo Bleeding Heart Baboons 
","wild photo bleeding heart baboons 
",wild photo bleeding heart baboons,/content/drive/MyDrive/lab5_data/data2/1173.jpg,null
73,532,"WhyImSingle justinbieber ruined my life But in the best way possible  
","whyimsingle justinbieber ruined my life but in the best way possible  
",whyimsingle justinbieber ruined my life but in the best way possible,/content/drive/MyDrive/lab5_data/data2/532.jpg,null
74,51,"Martha said for Valentines Day she wanted a heart shaped pancake for lunch Being the doting husband I am 
","martha said for valentines day she wanted a heart shaped pancake for lunch being the doting husband i am 
",martha said for valentines day she wanted a heart shaped pancake for lunch being the doting husband i am,/content/drive/MyDrive/lab5_data/data2/51.jpg,null
75,3008,"New of Steam on Ebay Grim Legends 2 Song of the Dark Swan Steam Key 
","new of steam on ebay grim legends 2 song of the dark swan steam key 
",new of steam on ebay grim legends 2 song of the dark swan steam key,/content/drive/MyDrive/lab5_data/data2/3008.jpg,null
76,1578," and I thought this was going to be a good day hurt JohnnyCash sadturnup 
"," and i thought this was going to be a good day hurt johnnycash sadturnup 
",and i thought this was going to be a good day hurt johnnycash sadturnup,/content/drive/MyDrive/lab5_data/data2/1578.jpg,null
77,4945,"RT kankoreerogazo C85¿ httptco2aOn3luE6t httptco0VNHDSqLY7
","rt kankoreerogazo c85¿  
",rt kancolle erotic is c85¿,/content/drive/MyDrive/lab5_data/data2/4945.jpg,null
78,2572,"Marca  Casemiro will cut his holidays short and join Real Madrid sooner than expected HalaMadrid 
","marca  casemiro will cut his holidays short and join real madrid sooner than expected halamadrid 
",marca  casemiro will cut his holidays short and join real madrid sooner than expected halamadrid,/content/drive/MyDrive/lab5_data/data2/2572.jpg,null
79,173,"New kicks from tenniswarehouse delighted 
","new kicks from tenniswarehouse delighted 
",new kicks from tenniswarehouse delighted,/content/drive/MyDrive/lab5_data/data2/173.jpg,null
80,3439,"RT ArianaGrande pouty but overjoyed I swear  
","rt arianagrande pouty but overjoyed i swear  
",rt arianagrande pouty but overjoyed i swear,/content/drive/MyDrive/lab5_data/data2/3439.jpg,null
81,755,"Wet n Wild Mega Last Matte Lipstick DollHouse Pink 967 Lip Color Ships Fast 
","wet n wild mega last matte lipstick dollhouse pink 967 lip color ships fast 
",wet n wild mega last matte lipstick dollhouse pink 967 lip color ships fast,/content/drive/MyDrive/lab5_data/data2/755.jpg,null
82,2918,"RT ZozeeBo SUGGMONDAY instead of SUGGSUNDAY this week Been in bed all day with ladywombpain so video isnt finished DIS ME 
","rt zozeebo suggmonday instead of suggsunday this week been in bed all day with ladywombpain so video isnt finished dis me 
",rt zozeebo suggmonday instead of suggsunday this week been in bed all day with ladywombpain so video isnt finished dis me,/content/drive/MyDrive/lab5_data/data2/2918.jpg,null
83,1417,"RT Mummydee23 Worship my feet you pathetic worthless footboys get and lick the dirt and sweat off my dirty Soles footfetish 
","rt mummydee23 worship my feet you pathetic worthless footboys get and lick the dirt and sweat off my dirty soles footfetish 
",rt mummydee23 worship my feet you pathetic worthless footboys get and lick the dirt and sweat off my dirty soles footfetish,/content/drive/MyDrive/lab5_data/data2/1417.jpg,null
84,3152,"I just rescued Karma in BestFiends  Download FREE  via bestfiends 
","i just rescued karma in bestfiends  download free  via bestfiends 
",i just rescued karma in bestfiends  download free  via bestfiends,/content/drive/MyDrive/lab5_data/data2/3152.jpg,null
85,121,"MelissaLanders look what came in the mail today Im so excited to get started Yay alienated 
","melissalanders look what came in the mail today im so excited to get started yay alienated 
",melissalanders look what came in the mail today im so excited to get started yay alienated,/content/drive/MyDrive/lab5_data/data2/121.jpg,null
86,780,"My stoner Stepdad installed a new porch light for me Notice anything wrong 
","my stoner stepdad installed a new porch light for me notice anything wrong 
",my stoner stepdad installed a new porch light for me notice anything wrong,/content/drive/MyDrive/lab5_data/data2/780.jpg,null
87,4319,"RT Apostleshipsea Were delighted to be part of the BigWelfareDebate at LISW15 httptcoeg6eSJaN7E LISW15 seafarers httptco3h
","rt apostleshipsea were delighted to be part of the bigwelfaredebate at lisw15  lisw15 seafarers 
",rt apostleshipsea were delighted to be part of the bigwelfaredebate at lisw15  lisw15 seafarers,/content/drive/MyDrive/lab5_data/data2/4319.jpg,null
88,1191,"fishing Willow Strike Spinnerbait Colorado Bleeding Love the bleeding red idea and 
","fishing willow strike spinnerbait colorado bleeding love the bleeding red idea and 
",fishing willow strike spinnerbait colorado bleeding love the bleeding red idea and,/content/drive/MyDrive/lab5_data/data2/1191.jpg,null
89,1573,"Horrified BMovie Victims Playset Swagshop 
","horrified bmovie victims playset swagshop 
",horrified bmovie victims playset swagshop,/content/drive/MyDrive/lab5_data/data2/1573.jpg,null
90,1406,"RT vjalabert 5 Ways to Embed Your Organization With a Culture of Happiness via TLNTcom 
","rt vjalabert 5 ways to embed your organization with a culture of happiness via tlntcom 
",rt vjalabert 5 ways to embed your organization with a culture of happiness via tlntcom,/content/drive/MyDrive/lab5_data/data2/1406.jpg,null
91,3955,"RT Shyannaxx When you realize you spelled something wrong in your tweet a day after it was posted TaniseMarkia143 
","rt shyannaxx when you realize you spelled something wrong in your tweet a day after it was posted tanisemarkia143 
",rt shyannaxx when you realize you spelled something wrong in your tweet a day after it was posted tanisemarkia143,/content/drive/MyDrive/lab5_data/data2/3955.jpg,null
92,2904,"RT YouChoices Would you rather 
","rt youchoices would you rather 
",rt youchoices would you rather,/content/drive/MyDrive/lab5_data/data2/2904.jpg,null
93,2721,"Why are you feeling dispirited Take the quiz 
","why are you feeling dispirited take the quiz 
",why are you feeling dispirited take the quiz,/content/drive/MyDrive/lab5_data/data2/2721.jpg,null
94,58,"RT MyDreamBiggest AndreaNavedo Janes baby not even born and Xo is already drooling he  Its going to be a doting grandmother  htt 
","rt mydreambiggest andreanavedo janes baby not even born and xo is already drooling he  its going to be a doting grandmother  htt 
",rt mydreambiggest andreanavedo janes baby not even born and xo is already drooling he  its going to be a doting grandmother  htt,/content/drive/MyDrive/lab5_data/data2/58.jpg,null
95,3149,"RT sillyharry i lost my sneakers in Israel so now i have to use my grandmas  
","rt sillyharry i lost my sneakers in israel so now i have to use my grandmas  
",rt sillyharry i lost my sneakers in israel so now i have to use my grandmas,/content/drive/MyDrive/lab5_data/data2/3149.jpg,null
96,3690,"Im playing pixtaword and Im stumped with this one can you help 
","im playing pixtaword and im stumped with this one can you help 
",im playing pixtaword and im stumped with this one can you help,/content/drive/MyDrive/lab5_data/data2/3690.jpg,null
97,3243,"Birthday fruit cake And on her left  
","birthday fruit cake and on her left  
",birthday fruit cake and on her left,/content/drive/MyDrive/lab5_data/data2/3243.jpg,null
98,3476,"Dazed confused perplexed or just a sexy pose I dont know which 
","dazed confused perplexed or just a sexy pose i dont know which 
",dazed confused perplexed or just a sexy pose i dont know which,/content/drive/MyDrive/lab5_data/data2/3476.jpg,null
99,1393,"Todays premiere is sold out Pulitzer Prize winner Disgraced by Ayad Akhtar 
","todays premiere is sold out pulitzer prize winner disgraced by ayad akhtar 
",todays premiere is sold out pulitzer prize winner disgraced by ayad akhtar,/content/drive/MyDrive/lab5_data/data2/1393.jpg,null
100,3362,"I once got mistaken for Josh Todd of Buck Cherry  
","i once got mistaken for josh todd of buck cherry  
",i once got mistaken for josh todd of buck cherry,/content/drive/MyDrive/lab5_data/data2/3362.jpg,null
101,1552,"Kung maging tayo sayo lang ang puso ko    Blackwhite Happiness eyebags 
","kung maging tayo sayo lang ang puso ko    blackwhite happiness eyebags 
",if we could only be you my heart blackwhite happiness eyebags,/content/drive/MyDrive/lab5_data/data2/1552.jpg,null
102,2348,"RT bdnews24 Congratulations Bangladesh Tigers They have beaten Pak Ind and now SA This is the new Bangladesh Shibly  AFP 
","rt bdnews24 congratulations bangladesh tigers they have beaten pak ind and now sa this is the new bangladesh shibly  afp 
",rt bdnews24 congratulations bangladesh tigers they have beaten pak ind and now sa this is the new bangladesh shibly  afp,/content/drive/MyDrive/lab5_data/data2/2348.jpg,null
103,1863,"Dont be bitter today be better  
","dont be bitter today be better  
",dont be bitter today be better,/content/drive/MyDrive/lab5_data/data2/1863.jpg,null
104,3003,"RT CNN Minions grabs secondbiggest US animated opening ever 
","rt cnn minions grabs secondbiggest us animated opening ever 
",rt cnn minions grabs second biggest us anime opening ever,/content/drive/MyDrive/lab5_data/data2/3003.jpg,null
